name,on,off,sentence,Objects
MOT,568800,569303,yay ,
MOT,569895,571286,yes ,
MOT,571950,573283,what do you ,hat
MOT,573283,574675,what do you see ,hat
MOT,574675,576520,you just love bigbird ,
MOT,578771,580443,hear the music ,music
MOT,586803,588068,did the music stop ,music
MOT,588068,589136,where did the music go ,music
MOT,589136,590331,can you make the music ,music
MOT,590888,592373,very good ,
MOT,593461,594893,can you make the music ,music
MOT,594893,598055,how do we make the music ,music
MOT,598055,600718,chi ,
MOT,602586,605226,did the birdie sing ,birdie
MOT,605226,607295,very good ,
MOT,607295,608541,good job ,
MOT,611108,615096,chi made the birdie sing ,birdie
MOT,615096,620033,can the birdie sing some more ,birdie
MOT,621008,624711,very good job ,
MOT,624711,625976,good job ,
MOT,629295,632923,yep there's the birdie's beak ,birdie
MOT,636043,638325,okay okay let's see what else we can find ,hat
MOT,638325,642441,let's see ,
MOT,643200,644061,cow ,cow
MOT,644061,645896,cow says mooo ,cow
MOT,645896,647066,what's a cow say ,hat cow
MOT,647066,650008,cow says mooo ,cow
MOT,653466,655488,yes cow says mooo ,cow
MOT,655488,657671,let's see what else we have here ,hat
MOT,657671,659348,what's a piggy say ,hat piggy
MOT,659348,661375,snort snort snorto ,
MOT,661748,663693,piggy says snort snort snorto ,piggy
MOT,666468,667245,what's that piggy say ,hat piggy
MOT,667245,669133,snort snort snorto ,
MOT,669133,670291,yes ,
MOT,681263,682985,want the piggy ,piggy
MOT,689113,689941,what's the piggy say ,hat piggy
MOT,689941,691565,yumo ,
MOT,693598,694445,yes ,
MOT,694445,695545,yes ,
MOT,698230,699646,what ,hat
MOT,700593,702341,oh are you growling at the piggy ,piggy
MOT,703695,705178,oh okay ,
MOT,706060,707901,what ,hat
MOT,707901,710266,where's the piggy ,piggy
MOT,710266,711790,piggy gone ,piggy
MOT,711790,713806,piggy gone ,piggy
MOT,713831,715011,where's the piggy ,piggy
MOT,715856,716841,chi ,
MOT,716841,718136,chi ,
MOT,719738,721113,there's the piggy ,piggy
MOT,721113,723401,dere's the piggy ,piggy
MOT,725256,727776,chi ,
MOT,727776,728605,where's the piggy ,piggy
MOT,729175,730080,where's the piggy ,piggy
MOT,730160,732735,piggy gone ,piggy
MOT,739381,741021,snort snort snorto ,
MOT,741021,742256,da piggy ,piggy
MOT,742256,743530,that silly piggy ,hat piggy
MOT,744396,746030,um hum ,
MOT,751853,753288,um yes ,
MOT,764051,764795,what ,hat
MOT,769085,770711,what ,hat
MOT,770711,772218,what's ,hat
MOT,772218,774921,what's a piggy doing on bigbird ,hat piggy
MOT,774921,776955,what's a piggy doing on bigbird ,hat piggy
MOT,778903,781581,you wanna see some more ,
MOT,781581,784060,here let's see what else we have here ,hat
MOT,785751,786868,let's see ,
MOT,786868,789785,look at mot ,
MOT,789785,791815,can you put it on ,
MOT,791815,792691,can you put it on ,
MOT,793868,795223,see it goes on ,
MOT,795223,797648,want it off ,
MOT,800785,803450,very good ,
MOT,803450,804723,good job ,
MOT,809868,810323,what ,hat
MOT,810323,812355,should mama put it on ,
MOT,813765,814508,yay ,
MOT,815466,816901,careful please ,
MOT,816901,818393,careful please ,
MOT,818393,821945,okay should we put bigbird back ,
MOT,821945,826025,in the box ,box
MOT,826025,827275,where'd bigbird go ,
MOT,827275,828645,where'd we put bigbird ,
MOT,833480,835813,very good ,
MOT,836703,838088,what ,hat
MOT,840561,843466,you want the orange one ,orange
MOT,846561,849301,uh oh ,
MOT,849301,850375,what ,hat
MOT,852016,853233,careful ,
MOT,853233,855265,what do you see ,hat
MOT,855265,855926,what do you see ,hat
MOT,859856,861136,see da baby ,baby
MOT,861136,862545,see da baby ,baby
MOT,863840,865171,nice baby ,baby
MOT,867513,869185,you found the baby's eyes ,baby
MOT,871585,872255,what else ,hat
MOT,873240,875076,there's that cow ,hat cow
MOT,875076,876340,there's the cow ,cow
MOT,879058,880460, find the book ,book
MOT,880460,882288,should we find the baby in the book ,baby book
MOT,882288,885991,there's the bear ,bear
MOT,885991,886863,watch chi ,
MOT,893046,895366,chi ,
MOT,898318,900275,see the bear ,bear
MOT,900275,901343,where's that in there ,hat
MOT,901343,902721,do you see chi ,
MOT,902721,906526,see chi ,
MOT,906526,907976,oh wanna go back to the glasses ,glasses
MOT,910393,915670,what ,hat
MOT,919371,921720,see da baby ,baby
MOT,921720,923375,see da baby ,baby
MOT,927215,928478,chi ,
MOT,928478,931195,see the glasses on mot ,glasses
